20-10-4 18:55:45.3|Info|update_btn_url|Starting migration to 106
20-10-4 18:55:45.3|Info|MigrationLogger|*** 107: remove_wombles migrating ***
20-10-4 18:55:45.3|Info|remove_wombles|Starting migration to 107
20-10-4 18:55:45.4|Info|MigrationLogger|*** 108: fix_extra_file_extension migrating ***
20-10-4 18:55:45.4|Info|fix_extra_file_extension|Starting migration to 108
20-10-4 18:55:45.4|Info|MigrationLogger|*** 109: import_extra_files migrating ***
20-10-4 18:55:45.4|Info|import_extra_files|Starting migration to 109
20-10-4 18:55:45.4|Info|MigrationLogger|*** 110: fix_extra_files_config migrating ***
20-10-4 18:55:45.4|Info|fix_extra_files_config|Starting migration to 110
20-10-4 18:55:45.4|Info|MigrationLogger|*** 112: added_regex_to_scenemapping migrating ***
20-10-4 18:55:45.4|Info|added_regex_to_scenemapping|Starting migration to 112
20-10-4 18:55:45.4|Info|MigrationLogger|*** 113: consolidate_indexer_baseurl migrating ***
20-10-4 18:55:45.4|Info|consolidate_indexer_baseurl|Starting migration to 113
20-10-4 18:55:45.4|Info|MigrationLogger|*** 114: rename_indexer_status_id migrating ***
20-10-4 18:55:45.4|Info|rename_indexer_status_id|Starting migration to 114
20-10-4 18:55:45.4|Info|MigrationLogger|*** 115: add_downloadclient_status migrating ***
20-10-4 18:55:45.4|Info|add_downloadclient_status|Starting migration to 115
20-10-4 18:55:45.4|Info|MigrationLogger|*** 116: disable_nyaa migrating ***
20-10-4 18:55:45.4|Info|disable_nyaa|Starting migration to 116
20-10-4 18:55:45.4|Info|MigrationLogger|*** 118: add_history_eventType_index migrating ***
20-10-4 18:55:45.4|Info|add_history_eventType_index|Starting migration to 118
20-10-4 18:55:45.5|Info|MigrationLogger|*** 120: update_series_episodes_history_indexes migrating ***
20-10-4 18:55:45.5|Info|update_series_episodes_history_indexes|Starting migration to 120
20-10-4 18:55:45.5|Info|MigrationLogger|*** 121: update_animetosho_url migrating ***
20-10-4 18:55:45.5|Info|update_animetosho_url|Starting migration to 121
20-10-4 18:55:45.5|Info|MigrationLogger|*** 129: add_relative_original_path_to_episode_file migrating ***
20-10-4 18:55:45.5|Info|add_relative_original_path_to_episode_file|Starting migration to 129
20-10-4 18:55:45.5|Info|MigrationLogger|*** 130: episode_last_searched_time migrating ***
20-10-4 18:55:45.5|Info|episode_last_searched_time|Starting migration to 130
